"","","","","","","","","","","","","","",""
"ทาวน์โฮม","Piamsuk Rattanathibet 34 Phra Nang Klao","หมู่บ้านเปี่ยมสุข รัตนาธิเบศร์ 34 พระนั่งเกล้า","รัตนาธิเบศร์38","รัตนาธิเบศร์","บางกระสอ","เมืองนนทบุรี","นนทบุรี","","","","","- ใกล้ห้างสรรพสินค้าเซ็นทรัลรัตนาธิเบศร์ 
- เดอะมอลล์ งามวงศ์วาน 
- โลตัส แคราย 
- เอสพลานาด แคราย ,
- บิ๊กซี รัตนาธิเบศร์ 
- พันธ์ทิพย์ งามวงศ์วาน 
- เมเจอร์ท่าน้ำนนท์
- ใกล้โรงพยาบาลเกษมราษฏร์ ประชาชื่น 
- โรงพยาบาลพระนั่งเกล้า 
- โรงพยาบาลโรคทรวงอก
- ใกล้โรงเรียนศรีบุญยานนท์ 
- โรงเรียนอนุราชประสิทธิ์ 

","","รัตนาธิเบศร์ สนามบินน้ำ พระนั่งเกล้า สามัคคี เรวดี"
"ทาวน์โฮม","Pruksa Village 30","หมู่บ้านพฤกษา30","","บ้านกล้วย-ไทรน้อย","พิมลราช","บางบัวทอง","นนทบุรี","","","","รักษาความปลอดภัย 24 ชม, ที่จอดรถ","- Big C 
- Max valu
- Centralplaza Westgate
- Ikea Bangyai
- รร.บางบัวทอง
- รร.วัดลาดปลาดุก
- รร.เต็มรักศึกษา
- รร.กสิณธรเซนต์ปีเตอร์
- รพ.บางบัวทอง
- รพ.เกษมราษฎร์","","นนทบุรี บางใหญ่ บางบัวทอง ไทรน้อย ไทรม้า ท่าอิฐ"
"ทาวน์โฮม","Rattanathibet Village, Bang Yai","หมู่บ้านรัตนาธิเบศร์ บางใหญ่","หมู่บ้านรัตนาธิเบศร์","กาญจนาภิเษก","บางรักพัฒนา","บางบัวทอง","นนทบุรี","","","","","- โครงการตั้งอยู่บนถนนสายหลัก ได้แก่ ถนนกาญจนาภิเษก , ถนนรัตนาธิเบศร์
- มีระบบรักษาความปลอดภัย , มีกล้องวงจรปิด
- สภาพแวดล้อมดี สะอาด 
- สิ่งอำนวยความสะดวกภายในโครงการ ได้แก่ สนามเด็กเล่น
- ใกล้โครงการมีร้านค้า , ร้านอาหาร , ตลาดสด , ร้านซักรีด
- บ้านตั้งอยู่ใกล้ร้านสะดวกซื้อ 7-11 
- ใกล้ ห้างสรรพสินค้าเซ็นทรัลเวสท์เกต 
- ใกล้ โรงพยาบาลเกษมราษฎร์ รัตนาธิเบศร์
- ใกล้ โรงเรียนกสินธร , โรงเรียนพระแม่สกลสงเคราะห์
- ใกล้ ธนาคารกสิกร , ไทยพาณิชย์ , กรุงเทพ","","นนทบุรี บางใหญ่ บางบัวทอง ไทรน้อย ไทรม้า ท่าอิฐ"
"บ้านเดี่ยว","Krit Kunchorn Village Ban Kluai-Sai Noi","หมู่บ้านกฤษกุญชร บ้านกล้วย-ไทรน้อย","","บ้านกล้วย-ไทรน้อย","พิมลราช","บางบัวทอง","นนทบุรี","","","","","-โลตัส
-โรงพยาบาลบางบัวทอง
-โรงเรียนแสงประทีปรัฐบำรุง
-อบต บางบัวทอง
-เซ็นทรัลเวสเกต","","นนทบุรี บางใหญ่ บางบัวทอง ไทรน้อย ไทรม้า ท่าอิฐ"
"ทาวน์โฮม","Village at Park Ratchapruek-Kanchanaphisek","วิลเลจ แอท พาร์ค ราชพฤกษ์-กาญจนาภิเษก","","","คลองพระอุดม","ลาดหลุมเเก้ว","ปทุมธานี","","","","รักษาความปลอดภัย 24 ชม, สนามเด็กเล่น, สวนสาธารณะ/สวนหย่อม","
-รร.สารสาสน์ ราชพฤกษ์
-รพ.กรุงสยาม เซนต์คาร์ลอส
-รพ.เกษมราษฎร์
-เซ็นทรัลพลาซา แจ้งวัฒนะ
-เซ็นทรัลพลาซา รัตนาธิเบศร์
-เดอะมอลล์งามวงศ์วาน","","ปทุมธานี ลำลูกกา รังสิต ธรรมศาสตร์ คลองหลวง"
"ทาวน์โฮม","Pruksa 81 (Phahonyothin-Nawanakorn)","พฤกษา 81 (พหลโยธิน-นวนคร)","","","คลองหนึ่ง","คลองหลวง","ปทุมธานี","","","","รักษาความปลอดภัย 24 ชม, CCTV, สนามเด็กเล่น, สวนสาธารณะ/สวนหย่อม","-มหาวิทยาลัยธรรมศาสตร์
- มหาวิทยาลัยราชภัฏวลัยลงกรณ์
-ศูนย์การเรียนรู้ท่าโขลง
- โรงเรียนวันครู
- Big-C
- Lotus
- เจ อเวนิว
- ฟิวเจอร์ พาร์ค
-ตลาดไท
- โรงพยาบาลนวนคร
- กรมที่ดิน
- แขวงการทางปทุมธานี
-พิพิธภัณฑ์เกษตรเฉลิมพระเกียรติ
- นิคมอุตสาหกรรมนวนคร
-วัดทวีการะอนันต์","","ปทุมธานี ลำลูกกา รังสิต ธรรมศาสตร์ คลองหลวง"
"คอนโด","Lumpini Ville Suksawat-Rama 2 Lumpini Ville Suksawat-Rama 2","คอนโด ลุมพินี วิลล์ สุขสวัสดิ์-พระราม 2 Lumpini Ville Suksawat-Rama 2","","สุขสวัสดิ์","จอมทอง","จอมทอง","กรุงเทพ","","","","รักษาความปลอดภัย 24 ชม, CCTV, สระว่ายน้ำ, Fitness, สวนสาธารณะ/สวนหย่อม, ห้องประชุม, Co-working space, ที่จอดรถ, ซัก อบ รีด, มินิมาร์ท","-Big C บางปะกอก : 700 ม.
-ตลาดโอ๋เอ๋ : 1.1 กม.
-ตลาดอินดี้ : 1.2 กม.
-Tesco Lotus บางปะกอก : 1.8 กม.
-Big C ราษฎร์บูรณะ : 1.9 กม.
-Forest พระราม 2 : 2 กม.
-Big C ดาวคะนอง : 2.1 กม.
-The Mall ท่าพระ : 4.2 กม.
-The Bright พระราม 2 : 4.3 กม.
-Makro ประชาอุทิศ : 4.6 กม.
-Asiatique : 4.9 กม.
-Big C สุขสวัสดิ์ : 5.3 กม.
-Home Pro พระราม 2 : 5.6 กม.
-Big C พระราม 2 : 5.8 กม.
-ตลาดใหม่ทุ่งครุ : 6.1 กม.
-Central Plaza Rama 2 : 6.6 กม.
-Major Hollywood สุขสวัสดิ์ : 6.7 กม.
-รพ.บางปะกอก 1 : 1.4 กม.
-รพ.บางปะกอก 9 อินเตอร์เนชั่นแนล : 1.6 กม.
-รพ.ราษฎร์บูรณะ : 2.1 กม.
-รพ.บางมด : 3.8 กม.
-รพ.สมเด็จพระปิ่นเกล้า : 4.0 กม.
-รพ.สมิติเวชธนบุรี : 4.0 กม.
-รพ.เจริญกรุงประชารักษ์ : 4.3 กม.
-รพ.นครธน : 6.7 กม.","","พระราม 2 บางขุนเทียน ท่าข้าม เทียนทะเล"
"ทาวน์โฮม","Siri Place Navanakorn Siri Place Navanakorn","สิริ เพลส นวนคร SIRI PLACE Navanakorn","","","เชียงรากน้อย","บางปะอิน","อยุธยา","","","","รักษาความปลอดภัย 24 ชม, CCTV, สระว่ายน้ำ, Fitness, สนามเด็กเล่น","-ห้างสรรพสินค้า
-เทสโก้ โลตัส นวนคร
-บิ๊กซี นวนคร
-ฟิวเจอร์ พาร์ค รังสิต
-แม็คโคร คลองหลวง
-อื่นๆ
-ทางด่วนบางปะอิน-ปากเกร็ด
-วงแหวนฯตะวันออก
-ตลาดโรงเกลือ
-ตลาดต่อยอด","","อยุธยา"
"ทาวน์โฮม","Townhome Pruksa Town Next Pinklao-Sai 4 PRUKSA TOWN Nexts Loft Pinklao-Sai 4","ทาวน์โฮม พฤกษาทาวน์เน็กซ์ ลอฟท์ ปิ่นเกล้า-สาย 4 PRUKSA TOWN NEXTS LOFT PINKLAO-SAI 4","","","กระทุ่มล้ม","สามพราน","นครปฐม","","","","รักษาความปลอดภัย 24 ชม, CCTV, สนามเด็กเล่น, สวนสาธารณะ/สวนหย่อม","– Central Plaza ศาลายา : 12.5 กม.
– Tesco Lotus ตลาด พุทธมณฑลสาย 4 (โลตัสขนาดกลาง) : 400 เมตร
– Tesco Lotus ศาลายา : 8.9 กม.
– Big C อ้อมใหญ่ : 11.3 กม.
– Big C เพชรเกษม : 8.0 กม.
– Big C เพชรเกษม 2 : 7.2 กม.
– The Mall บางแค : 11.0 กม.ตลาด
– ตลาดมาลี : 1.4 กม.
– ตลาดเก้าแสน : 9.6 กม.
– ตลาดพันล้าน : 11.1 กม.โรงพยาบาล
– โรงพยาบาลวิชัยเวช อินเตอร์เนชั่นแนล : 6.6 กม.
– โรงพยาบาลเกษมราษฎร์ : 10.7 กม.
– โรงพยาบาลธนบุรี 2 : 15.2 กม.
– โรงพยาบาลมหาชัย 2 : 9.5 กม.สถานศึกษา
– มหาวิทยาลัยมหิดล ศาลายา : 7.5 กม.
– มหาวิทยาลัยเอเชียอาคเนย์ : 6.2 กม.อื่นๆ
– สวนพุทธมณฑล : 5.5 กม.
– สถานีขนส่งสายใต้ใหม่ : 17.0 กม.","","นครปฐม พุทธมณฑล ศาลายา ศาลาธรรมสพน์ เลียบคลองทวีวัฒนา"
"บ้้านแฝด","Pruksa Salaya-Boromarajonani Baan Prksa Salaya-Boromratchonnee","พฤกษา ศาลายา-บรมราชชนนี Baan Pruksa Salaya-Boromratchonnee","","","บางกระทึก","สามพราน","นครปฐม","","","","รักษาความปลอดภัย 24 ชม, CCTV, สระว่ายน้ำ, Fitness, สนามเด็กเล่น, สวนสาธารณะ/สวนหย่อม","-การประปาส่วนภูมิภาคอ้อมน้อย 1.3 กม.
-ตลาดน้ำดอนหวาย 1.8 กม.
-ตลาดเสรี 2.8 กม.
-เซ็นทรัลศาลายา 4.3 กม.
-พุทธมณฑล 4.7 กม.
-วัดไร่ขิง 4.8 กม.
-ตลาดเก้าแสน 6.1 กม.
-ม.มหิดล 6.5 กม.
-ตลาดสมบูรณ์อ้อมน้อย 8.3 กม.
-เวทีมวยสยามอ้อมน้อย 9.4 กม.
-รพ.วิชัยเวช 13.2 กม.
-HomePro 13.8 กม.
-BigC เพชรเกษม2 13.8 กม.
-รร.เลิศหล้า 13.5 กม.
-BigC เพชรเกษม 15.4 กม.
-The Mall บางแค 18.5 กม.
-Lotus บางแค 19.5 กม.
-ตลาดสดบางแค 20.1 กม.
-Season บางแค 21.2 กม.
-ม.สยาม 23.4 กม.
-BTS สถานีบางหว้า 23.8 กม.","","นครปฐม พุทธมณฑล ศาลายา ศาลาธรรมสพน์ เลียบคลองทวีวัฒนา"
